  0  Lactuca virosa              | Bitter Lettuce              | Acı Marul
344  Acacia saligna              | Blue-leaved Wattle          | Mavi Yapraklı Akasya
345  Patzkea paniculata          | —                           | —
346  Perovskia abrotanoides      | Afghan Sage                 | Afgan Adaçayı
347  Ophrys occidentalis         | Western Ophrys              | Batı Orkidesi
348  Erechtites hieraciifolius   | American Burnweed           | —
349  Cenchrus longisetus         | Feathertop Grass            | Tüylü Tepe Çimi
350  Nothofagus obliqua          | Roble Beech                 | Şili Kayını
351  Calendula arvensis          | Field Marigold              | Tarla Nergizi
352  Carthamus carduncellus      | Blue Safflower              | Mavi Aspir
353  Carthamus mitissimus        | —                           | —
354  Chaerophyllum aureum        | Golden Chervil              | Altın Frenk Maydanozu
355  Chaerophyllum hirsutum      | Hairy Chervil               | Tüylü Frenk Maydanozu
356  Chaerophyllum villarsii     | Villar's Chervil            | —
357  Cirsium alsophilum          | Forest Thistle              | Orman Devedikenesi
358  Cirsium canum               | Grey Thistle                | Gri Devedikeni
359  Cirsium dissectum           | Meadow Thistle              | Çayır Devedikenesi
360  Cirsium eriophorum          | Woolly Thistle              | Yünlü Devedikeni
361  Cirsium erisithales         | Sticky Thistle              | Yapışkan Devedikeni
362  Cirsium ferox               | Fierce Thistle              | Yırtıcı Devedikeni
363  Cirsium filipendulum        | —                           | —
364  Cirsium glabrum             | Smooth Thistle              | Düz Devedikeni
365  Cirsium heterophyllum       | Melancholy Thistle          | Hüzünlü Devedikeni
366  Cirsium morisianum          | Moris's Thistle             | —
367  Cirsium oleraceum           | Cabbage Thistle             | Lahana Devedikenesi
368  Cirsium rivulare            | Brook Thistle               | Dere Devedikenesi
369  Cirsium tuberosum           | Tuberous Thistle            | Yumrulu Devedikeni
370  Collomia grandiflora        | Large-flowered Collomia     | Büyük Çiçekli Kollomsiya
371  Cucurbita maxima            | Giant Pumpkin               | Dev Balkabağı
372  Cymbalaria aequitriloba     | —                           | —
373  Cymbalaria hepaticifolia    | Corsican Toadflax           | Korsika Koyungözü
374  Cytinus hypocistis          | Cytinus                     | —
375  Cytinus ruber               | Red Cytinus                 | Kırmızı Sitinus
376  Daphne alpina               | Alpine Daphne               | Alpin Defnesi
377  Daphne cneorum              | Garland Flower              | Çelenk Çiçeği
378  Daphne mezereum             | Mezereon                    | Ateş Çiçeği
379  Daphne striata              | Striped Daphne              | Çizgili Defne
380  Dorotheanthus bellidiformis | Livingstone Daisy           | Livingston Papatyası
381  Dryas octopetala            | Mountain Avens              | Dağ Armut Çiçeği
382  Dryopteris carthusiana      | Narrow Buckler-fern         | Dar Eğrelti
383  Dryopteris cristata         | Crested Buckler-fern        | Tepeli Eğrelti
384  Dryopteris dilatata         | Broad Buckler-fern          | Geniş Eğrelti
385  Dryopteris expansa          | Northern Buckler-fern       | Kuzey Eğreltisi
386  Dryopteris villarii         | Rigid Buckler-fern          | Sert Eğrelti
387  Empetrum nigrum             | Crowberry                   | Kartal Mersini
388  Epipactis atrorubens        | Dark Red Helleborine        | Koyu Kırmızı Dağ Orkidesi
389  Epipactis leptochila        | Narrow-lipped Helleborine   | Dar Dudaklı Dağ Orkidesi
390  Epipactis microphylla       | Small-leaved Helleborine    | Küçük Yapraklı Dağ Orkidesi
391  Epipactis muelleri          | Mueller's Helleborine       | —
392  Epipactis palustris         | Marsh Helleborine           | Bataklık Dağ Orkidesi
393  Epipactis phyllanthes       | Green-flowered Helleborine  | Yeşil Çiçekli Dağ Orkidesi
394  Epipactis purpurata         | Violet Helleborine          | Mor Dağ Orkidesi
395  Erucastrum gallicum         | Dog Mustard                 | Köpek Hardalı
396  Erucastrum incanum          | Hoary Erucastrum            | —
397  Erucastrum nasturtiifolium  | Rocket-leaved Erucastrum    | —
398  Fedia graciliflora          | —                           | —
399  Fragaria moschata           | Hautbois Strawberry         | Misk Çileği
400  Freesia x hybrida           | Hybrid Freesia              | Melez Frezya
401  Galega orientalis           | Eastern Goat's Rue          | Doğu Keçi Sedefi
402  Alliaria petiolata          | Garlic Mustard              | Sarımsaklı Hardal
403  Geropogon hybridus          | Hybrid Goat's Beard         | Melez Keçi Sakalı
404  Gomphocarpus fruticosus     | Narrowleaf Cottonbush       | Dar Yapraklı Pamuk Çalısı
405  Gomphocarpus physocarpus    | Balloon Milkweed            | Balon İpek Otu
406  Guizotia abyssinica         | Niger Seed                  | Habeş Susam
407  Hebe andersonii             | Anderson's Hebe             | —
408  Hebe brachysiphon           | Short-tubed Hebe            | —
409  Hebe ochracea               | —                           | —
410  Hebe salicifolia            | Willow-leaved Hebe          | Söğüt Yapraklı Hebe
411  Helicodiceros muscivorus    | Dead Horse Arum             | Ölü At Arumu
412  Hippophae rhamnoides        | Sea Buckthorn               | Deniz Cehri
413  Hypericum calycinum         | Rose of Sharon              | Şaron Gülü
414  Hypericum coris             | Heath St. John's Wort       | —
